model tuple,gen,test result
"('111', '0111010010')","{'S_1': '1-11', 'S_2': '0-11-101-0010'}","(0.9462, 0.905159527683258)"
"('111', '0111010001')","{'S_1': '1-11', 'S_2': '0-11-101-0001'}","(0.988, 0.4678105768203735)"
"('111', '0111010000')","{'S_1': '1-11', 'S_2': '0-11-101-0000'}","(0.1133, 2.618435955810547)"
"('111', '0111001111')","{'S_1': '1-11', 'S_2': '0-11-100-1111'}","(0.99, 0.03547776025007479)"
"('111', '0111001110')","{'S_1': '1-11', 'S_2': '0-11-100-1110'}","(0.9891, 0.03575739249219186)"
"('111', '0111001101')","{'S_1': '1-11', 'S_2': '0-11-100-1101'}","(0.9892, 0.03508599478513934)"
"('111', '0111001100')","{'S_1': '1-11', 'S_2': '0-11-100-1100'}","(0.9871, 0.04131042500175536)"
"('111', '0111001011')","{'S_1': '1-11', 'S_2': '0-11-100-1011'}","(0.99, 0.03558087589903735)"
"('111', '0111001010')","{'S_1': '1-11', 'S_2': '0-11-100-1010'}","(0.9891, 0.03580244586845511)"
"('111', '0111001001')","{'S_1': '1-11', 'S_2': '0-11-100-1001'}","(0.9894, 0.0351201332253404)"
"('111', '0111001000')","{'S_1': '1-11', 'S_2': '0-11-100-1000'}","(0.987, 0.040983237388916315)"
"('111', '0111000111')","{'S_1': '1-11', 'S_2': '0-11-100-0111'}","(0.9888, 0.16410492796897888)"
"('111', '0111000110')","{'S_1': '1-11', 'S_2': '0-11-100-0110'}","(0.943, 0.9908693214416504)"
"('111', '0111000101')","{'S_1': '1-11', 'S_2': '0-11-100-0101'}","(0.9423, 0.946649481678009)"
"('111', '0111000100')","{'S_1': '1-11', 'S_2': '0-11-100-0100'}","(0.0921, 2.7866919589996337)"
"('111', '0111000011')","{'S_1': '1-11', 'S_2': '0-11-100-0011'}","(0.9895, 0.1430560446739197)"
"('111', '0111000010')","{'S_1': '1-11', 'S_2': '0-11-100-0010'}","(0.9608, 0.8587446472167969)"
"('111', '0111000001')","{'S_1': '1-11', 'S_2': '0-11-100-0001'}","(0.9584, 0.8353538216590881)"
"('111', '0111000000')","{'S_1': '1-11', 'S_2': '0-11-100-0000'}","(0.0931, 2.76995267868042)"
"('111', '0110111111')","{'S_1': '1-11', 'S_2': '0-11-011-1111'}","(0.9893, 0.03536426867826667)"
"('111', '0110111110')","{'S_1': '1-11', 'S_2': '0-11-011-1110'}","(0.989, 0.036306845052866264)"
"('111', '0110111101')","{'S_1': '1-11', 'S_2': '0-11-011-1101'}","(0.9881, 0.03792600027960434)"
"('111', '0110111100')","{'S_1': '1-11', 'S_2': '0-11-011-1100'}","(0.9873, 0.039742702108435335)"
"('111', '0110111011')","{'S_1': '1-11', 'S_2': '0-11-011-1011'}","(0.9892, 0.035393194117723036)"
"('111', '0110111010')","{'S_1': '1-11', 'S_2': '0-11-011-1010'}","(0.9891, 0.03635833581227489)"
"('111', '0110111001')","{'S_1': '1-11', 'S_2': '0-11-011-1001'}","(0.9879, 0.03781815188536421)"
"('111', '0110111000')","{'S_1': '1-11', 'S_2': '0-11-011-1000'}","(0.9871, 0.03968981872014701)"
"('111', '0110110111')","{'S_1': '1-11', 'S_2': '0-11-011-0111'}","(0.9893, 0.6402359852790832)"
"('111', '0110110110')","{'S_1': '1-11', 'S_2': '0-11-011-0110'}","(0.9898, 0.7524178851127624)"
"('111', '0110110101')","{'S_1': '1-11', 'S_2': '0-11-011-0101'}","(0.6555, 2.1563269008636476)"
"('111', '0110110100')","{'S_1': '1-11', 'S_2': '0-11-011-0100'}","(0.1288, 2.332268255233765)"
"('111', '0110110011')","{'S_1': '1-11', 'S_2': '0-11-011-0011'}","(0.9894, 0.5539480321884155)"
"('111', '0110110010')","{'S_1': '1-11', 'S_2': '0-11-011-0010'}","(0.9899, 0.6482328240394593)"
"('111', '0110110001')","{'S_1': '1-11', 'S_2': '0-11-011-0001'}","(0.8056, 2.0786942848205565)"
"('111', '0110110000')","{'S_1': '1-11', 'S_2': '0-11-011-0000'}","(0.118, 2.3292969203948974)"
"('111', '0110101111')","{'S_1': '1-11', 'S_2': '0-11-010-1111'}","(0.9887, 0.03686826336835511)"
"('111', '0110101110')","{'S_1': '1-11', 'S_2': '0-11-010-1110'}","(0.989, 0.03682915625995956)"
"('111', '0110101101')","{'S_1': '1-11', 'S_2': '0-11-010-1101'}","(0.9871, 0.040076719460915775)"
"('111', '0110101100')","{'S_1': '1-11', 'S_2': '0-11-010-1100'}","(0.9872, 0.03987950064577162)"
"('111', '0110101011')","{'S_1': '1-11', 'S_2': '0-11-010-1011'}","(0.9889, 0.03688290906799957)"
"('111', '0110101010')","{'S_1': '1-11', 'S_2': '0-11-010-1010'}","(0.9889, 0.036861781938228526)"
"('111', '0110101001')","{'S_1': '1-11', 'S_2': '0-11-010-1001'}","(0.9869, 0.03983440264761448)"
"('111', '0110101000')","{'S_1': '1-11', 'S_2': '0-11-010-1000'}","(0.9868, 0.039688216544687745)"
"('111', '0110100111')","{'S_1': '1-11', 'S_2': '0-11-010-0111'}","(0.9871, 0.7463746713638306)"
"('111', '0110100110')","{'S_1': '1-11', 'S_2': '0-11-010-0110'}","(0.9879, 0.6915646800041199)"
"('111', '0110100101')","{'S_1': '1-11', 'S_2': '0-11-010-0101'}","(0.0839, 2.4566863189697266)"
"('111', '0110100100')","{'S_1': '1-11', 'S_2': '0-11-010-0100'}","(0.0776, 2.457706573486328)"
"('111', '0110100011')","{'S_1': '1-11', 'S_2': '0-11-010-0011'}","(0.9873, 0.647837478351593)"
"('111', '0110100010')","{'S_1': '1-11', 'S_2': '0-11-010-0010'}","(0.9882, 0.5950351334571838)"
"('111', '0110100001')","{'S_1': '1-11', 'S_2': '0-11-010-0001'}","(0.0889, 2.448449929428101)"
"('111', '0110100000')","{'S_1': '1-11', 'S_2': '0-11-010-0000'}","(0.0839, 2.444353579711914)"
"('111', '0110011111')","{'S_1': '1-11', 'S_2': '0-11-001-1111'}","(0.9894, 0.03521274776586506)"
"('111', '0110011110')","{'S_1': '1-11', 'S_2': '0-11-001-1110'}","(0.989, 0.03629018700500019)"
"('111', '0110011101')","{'S_1': '1-11', 'S_2': '0-11-001-1101'}","(0.9882, 0.037747810970898715)"
"('111', '0110011100')","{'S_1': '1-11', 'S_2': '0-11-001-1100'}","(0.9873, 0.03975347044309601)"
"('111', '0110011011')","{'S_1': '1-11', 'S_2': '0-11-001-1011'}","(0.9893, 0.035244190061930566)"
"('111', '0110011010')","{'S_1': '1-11', 'S_2': '0-11-001-1010'}","(0.9891, 0.036343875863542784)"
"('111', '0110011001')","{'S_1': '1-11', 'S_2': '0-11-001-1001'}","(0.988, 0.037641107306629416)"
"('111', '0110011000')","{'S_1': '1-11', 'S_2': '0-11-001-1000'}","(0.987, 0.03970631882585585)"
"('111', '0110010111')","{'S_1': '1-11', 'S_2': '0-11-001-0111'}","(0.9894, 0.6442749013900757)"
"('111', '0110010110')","{'S_1': '1-11', 'S_2': '0-11-001-0110'}","(0.9899, 0.7585651931762696)"
"('111', '0110010101')","{'S_1': '1-11', 'S_2': '0-11-001-0101'}","(0.6843, 2.1488987926483154)"
"('111', '0110010100')","{'S_1': '1-11', 'S_2': '0-11-001-0100'}","(0.1324, 2.329794619369507)"
"('111', '0110010011')","{'S_1': '1-11', 'S_2': '0-11-001-0011'}","(0.9895, 0.5580073508262634)"
"('111', '0110010010')","{'S_1': '1-11', 'S_2': '0-11-001-0010'}","(0.9903, 0.6538289816856384)"
"('111', '0110010001')","{'S_1': '1-11', 'S_2': '0-11-001-0001'}","(0.7715, 2.0705923351287843)"
"('111', '0110010000')","{'S_1': '1-11', 'S_2': '0-11-001-0000'}","(0.1197, 2.326104795837402)"
"('111', '0110001111')","{'S_1': '1-11', 'S_2': '0-11-000-1111'}","(0.9889, 0.036862555599492045)"
"('111', '0110001110')","{'S_1': '1-11', 'S_2': '0-11-000-1110'}","(0.9888, 0.036839497376885265)"
"('111', '0110001101')","{'S_1': '1-11', 'S_2': '0-11-000-1101'}","(0.9872, 0.040122313336655495)"
"('111', '0110001100')","{'S_1': '1-11', 'S_2': '0-11-000-1100'}","(0.9872, 0.03978664603345096)"
"('111', '0110001011')","{'S_1': '1-11', 'S_2': '0-11-000-1011'}","(0.9887, 0.03688647715318948)"
"('111', '0110001010')","{'S_1': '1-11', 'S_2': '0-11-000-1010'}","(0.9888, 0.03687153862006962)"
"('111', '0110001001')","{'S_1': '1-11', 'S_2': '0-11-000-1001'}","(0.9868, 0.03987087787613273)"
"('111', '0110001000')","{'S_1': '1-11', 'S_2': '0-11-000-1000'}","(0.9868, 0.03959425280895084)"
"('111', '0110000111')","{'S_1': '1-11', 'S_2': '0-11-000-0111'}","(0.9852, 0.7486660438537598)"
"('111', '0110000110')","{'S_1': '1-11', 'S_2': '0-11-000-0110'}","(0.9879, 0.6700857384681702)"
"('111', '0110000101')","{'S_1': '1-11', 'S_2': '0-11-000-0101'}","(0.0854, 2.4563932266235353)"
"('111', '0110000100')","{'S_1': '1-11', 'S_2': '0-11-000-0100'}","(0.0828, 2.462058096694946)"
"('111', '0110000011')","{'S_1': '1-11', 'S_2': '0-11-000-0011'}","(0.986, 0.6519642251014709)"
"('111', '0110000010')","{'S_1': '1-11', 'S_2': '0-11-000-0010'}","(0.9885, 0.5761408728599549)"
"('111', '0110000001')","{'S_1': '1-11', 'S_2': '0-11-000-0001'}","(0.0893, 2.4452181240081785)"
"('111', '0110000000')","{'S_1': '1-11', 'S_2': '0-11-000-0000'}","(0.0893, 2.448656610107422)"
"('111', '0101111111')","{'S_1': '1-11', 'S_2': '0-10-111-1111'}","(0.9901, 0.034350260202842764)"
"('111', '0101111110')","{'S_1': '1-11', 'S_2': '0-10-111-1110'}","(0.9894, 0.035574000820651416)"
"('111', '0101111101')","{'S_1': '1-11', 'S_2': '0-10-111-1101'}","(0.9896, 0.034534404838783665)"
"('111', '0101111100')","{'S_1': '1-11', 'S_2': '0-10-111-1100'}","(0.9881, 0.039844236188521606)"
"('111', '0101111011')","{'S_1': '1-11', 'S_2': '0-10-111-1011'}","(0.9901, 0.0344436718638346)"
"('111', '0101111010')","{'S_1': '1-11', 'S_2': '0-10-111-1010'}","(0.9894, 0.035631858500652015)"
"('111', '0101111001')","{'S_1': '1-11', 'S_2': '0-10-111-1001'}","(0.9895, 0.034570898332062644)"
"('111', '0101111000')","{'S_1': '1-11', 'S_2': '0-10-111-1000'}","(0.9881, 0.0397205016862601)"
"('111', '0101110111')","{'S_1': '1-11', 'S_2': '0-10-111-0111'}","(0.9893, 0.14570915393829345)"
"('111', '0101110110')","{'S_1': '1-11', 'S_2': '0-10-111-0110'}","(0.9274, 1.014400591659546)"
"('111', '0101110101')","{'S_1': '1-11', 'S_2': '0-10-111-0101'}","(0.9869, 0.5512175492286682)"
"('111', '0101110100')","{'S_1': '1-11', 'S_2': '0-10-111-0100'}","(0.1137, 2.6212743713378908)"
"('111', '0101110011')","{'S_1': '1-11', 'S_2': '0-10-111-0011'}","(0.9891, 0.1273984226703644)"
"('111', '0101110010')","{'S_1': '1-11', 'S_2': '0-10-111-0010'}","(0.9518, 0.879731710243225)"
"('111', '0101110001')","{'S_1': '1-11', 'S_2': '0-10-111-0001'}","(0.9879, 0.475402889919281)"
"('111', '0101110000')","{'S_1': '1-11', 'S_2': '0-10-111-0000'}","(0.1138, 2.6133848373413087)"
"('111', '0101101111')","{'S_1': '1-11', 'S_2': '0-10-110-1111'}","(0.99, 0.03554734976692707)"
"('111', '0101101110')","{'S_1': '1-11', 'S_2': '0-10-110-1110'}","(0.989, 0.035726161347143355)"
"('111', '0101101101')","{'S_1': '1-11', 'S_2': '0-10-110-1101'}","(0.9893, 0.035129129008576274)"
"('111', '0101101100')","{'S_1': '1-11', 'S_2': '0-10-110-1100'}","(0.9871, 0.041257588298432527)"
"('111', '0101101011')","{'S_1': '1-11', 'S_2': '0-10-110-1011'}","(0.99, 0.0356479510367295)"
"('111', '0101101010')","{'S_1': '1-11', 'S_2': '0-10-110-1010'}","(0.9891, 0.03577402935624122)"
"('111', '0101101001')","{'S_1': '1-11', 'S_2': '0-10-110-1001'}","(0.9894, 0.035162307399418204)"
"('111', '0101101000')","{'S_1': '1-11', 'S_2': '0-10-110-1000'}","(0.9871, 0.040930273795872926)"
"('111', '0101100111')","{'S_1': '1-11', 'S_2': '0-10-110-0111'}","(0.9889, 0.16383237005472184)"
"('111', '0101100110')","{'S_1': '1-11', 'S_2': '0-10-110-0110'}","(0.9501, 0.9610828192710876)"
"('111', '0101100101')","{'S_1': '1-11', 'S_2': '0-10-110-0101'}","(0.9377, 0.9670174863815307)"
"('111', '0101100100')","{'S_1': '1-11', 'S_2': '0-10-110-0100'}","(0.093, 2.7831623291015624)"
"('111', '0101100011')","{'S_1': '1-11', 'S_2': '0-10-110-0011'}","(0.9897, 0.14279108456373216)"
"('111', '0101100010')","{'S_1': '1-11', 'S_2': '0-10-110-0010'}","(0.9664, 0.8315354615211487)"
"('111', '0101100001')","{'S_1': '1-11', 'S_2': '0-10-110-0001'}","(0.9556, 0.8541537678718567)"
"('111', '0101100000')","{'S_1': '1-11', 'S_2': '0-10-110-0000'}","(0.0925, 2.7665062812805177)"
"('111', '0101011111')","{'S_1': '1-11', 'S_2': '0-10-101-1111'}","(0.9901, 0.034279432739253386)"
"('111', '0101011110')","{'S_1': '1-11', 'S_2': '0-10-101-1110'}","(0.9895, 0.03557332366986666)"
"('111', '0101011101')","{'S_1': '1-11', 'S_2': '0-10-101-1101'}","(0.9896, 0.03444127091681585)"
"('111', '0101011100')","{'S_1': '1-11', 'S_2': '0-10-101-1100'}","(0.9881, 0.03988012501294725)"
"('111', '0101011011')","{'S_1': '1-11', 'S_2': '0-10-101-1011'}","(0.9901, 0.03437187872271752)"
"('111', '0101011010')","{'S_1': '1-11', 'S_2': '0-10-101-1010'}","(0.9894, 0.03562750043678097)"
"('111', '0101011001')","{'S_1': '1-11', 'S_2': '0-10-101-1001'}","(0.9894, 0.03448346344777383)"
"('111', '0101011000')","{'S_1': '1-11', 'S_2': '0-10-101-1000'}","(0.9881, 0.03975193784930743)"
"('111', '0101010111')","{'S_1': '1-11', 'S_2': '0-10-101-0111'}","(0.9894, 0.1436566034793854)"
"('111', '0101010110')","{'S_1': '1-11', 'S_2': '0-10-101-0110'}","(0.9235, 1.0239589494705201)"
"('111', '0101010101')","{'S_1': '1-11', 'S_2': '0-10-101-0101'}","(0.9876, 0.5419511947631835)"
"('111', '0101010100')","{'S_1': '1-11', 'S_2': '0-10-101-0100'}","(0.1144, 2.6281174266815186)"
"('111', '0101010011')","{'S_1': '1-11', 'S_2': '0-10-101-0011'}","(0.9893, 0.12574088020324706)"
"('111', '0101010010')","{'S_1': '1-11', 'S_2': '0-10-101-0010'}","(0.9488, 0.8890966293334961)"
"('111', '0101010001')","{'S_1': '1-11', 'S_2': '0-10-101-0001'}","(0.988, 0.4676712915420532)"
"('111', '0101010000')","{'S_1': '1-11', 'S_2': '0-10-101-0000'}","(0.1132, 2.6198979522705077)"
"('111', '0101001111')","{'S_1': '1-11', 'S_2': '0-10-100-1111'}","(0.99, 0.03547297155747656)"
"('111', '0101001110')","{'S_1': '1-11', 'S_2': '0-10-100-1110'}","(0.9891, 0.03569325809907168)"
"('111', '0101001101')","{'S_1': '1-11', 'S_2': '0-10-100-1101'}","(0.9894, 0.0350345530688297)"
"('111', '0101001100')","{'S_1': '1-11', 'S_2': '0-10-100-1100'}","(0.9871, 0.041354570393636825)"
"('111', '0101001011')","{'S_1': '1-11', 'S_2': '0-10-100-1011'}","(0.99, 0.035577269970439376)"
"('111', '0101001010')","{'S_1': '1-11', 'S_2': '0-10-100-1010'}","(0.989, 0.03574420659840107)"
"('111', '0101001001')","{'S_1': '1-11', 'S_2': '0-10-100-1001'}","(0.9895, 0.035071562946675114)"
"('111', '0101001000')","{'S_1': '1-11', 'S_2': '0-10-100-1000'}","(0.987, 0.04101848541274667)"
"('111', '0101000111')","{'S_1': '1-11', 'S_2': '0-10-100-0111'}","(0.989, 0.1616379562854767)"
"('111', '0101000110')","{'S_1': '1-11', 'S_2': '0-10-100-0110'}","(0.9465, 0.9721894958496093)"
"('111', '0101000101')","{'S_1': '1-11', 'S_2': '0-10-100-0101'}","(0.9403, 0.9549476928710937)"
"('111', '0101000100')","{'S_1': '1-11', 'S_2': '0-10-100-0100'}","(0.0927, 2.7909294776916505)"
"('111', '0101000011')","{'S_1': '1-11', 'S_2': '0-10-100-0011'}","(0.9894, 0.14102735629081725)"
"('111', '0101000010')","{'S_1': '1-11', 'S_2': '0-10-100-0010'}","(0.9634, 0.8420975214004517)"
"('111', '0101000001')","{'S_1': '1-11', 'S_2': '0-10-100-0001'}","(0.9562, 0.8432542068481446)"
"('111', '0101000000')","{'S_1': '1-11', 'S_2': '0-10-100-0000'}","(0.0926, 2.7742162559509276)"
"('111', '0100111111')","{'S_1': '1-11', 'S_2': '0-10-011-1111'}","(0.9894, 0.035310964312031866)"
"('111', '0100111110')","{'S_1': '1-11', 'S_2': '0-10-011-1110'}","(0.989, 0.03624720943472348)"
"('111', '0100111101')","{'S_1': '1-11', 'S_2': '0-10-011-1101'}","(0.9881, 0.03789258399698883)"
"('111', '0100111100')","{'S_1': '1-11', 'S_2': '0-10-011-1100'}","(0.9873, 0.03973554894514382)"
"('111', '0100111011')","{'S_1': '1-11', 'S_2': '0-10-011-1011'}","(0.9894, 0.03534815672673285)"
"('111', '0100111010')","{'S_1': '1-11', 'S_2': '0-10-011-1010'}","(0.9891, 0.03630299533428624)"
"('111', '0100111001')","{'S_1': '1-11', 'S_2': '0-10-011-1001'}","(0.9879, 0.037788029884174464)"
"('111', '0100111000')","{'S_1': '1-11', 'S_2': '0-10-011-1000'}","(0.9871, 0.03968253572247923)"
"('111', '0100110111')","{'S_1': '1-11', 'S_2': '0-10-011-0111'}","(0.9893, 0.6252244024276733)"
"('111', '0100110110')","{'S_1': '1-11', 'S_2': '0-10-011-0110'}","(0.9898, 0.7373730505943298)"
"('111', '0100110101')","{'S_1': '1-11', 'S_2': '0-10-011-0101'}","(0.6602, 2.1535830127716062)"
"('111', '0100110100')","{'S_1': '1-11', 'S_2': '0-10-011-0100'}","(0.1303, 2.3326091529846193)"
"('111', '0100110011')","{'S_1': '1-11', 'S_2': '0-10-011-0011'}","(0.9892, 0.5408106679916382)"
"('111', '0100110010')","{'S_1': '1-11', 'S_2': '0-10-011-0010'}","(0.9901, 0.6350924376487732)"
"('111', '0100110001')","{'S_1': '1-11', 'S_2': '0-10-011-0001'}","(0.8062, 2.074342151641846)"
"('111', '0100110000')","{'S_1': '1-11', 'S_2': '0-10-011-0000'}","(0.1195, 2.3295049777984618)"
"('111', '0100101111')","{'S_1': '1-11', 'S_2': '0-10-010-1111'}","(0.9887, 0.036821585035324095)"
"('111', '0100101110')","{'S_1': '1-11', 'S_2': '0-10-010-1110'}","(0.9889, 0.036787503791600465)"
"('111', '0100101101')","{'S_1': '1-11', 'S_2': '0-10-010-1101'}","(0.9871, 0.04005881678145379)"
"('111', '0100101100')","{'S_1': '1-11', 'S_2': '0-10-010-1100'}","(0.9871, 0.03985740752108395)"
"('111', '0100101011')","{'S_1': '1-11', 'S_2': '0-10-010-1011'}","(0.9888, 0.036842657747259366)"
"('111', '0100101010')","{'S_1': '1-11', 'S_2': '0-10-010-1010'}","(0.9889, 0.03682175691220909)"
"('111', '0100101001')","{'S_1': '1-11', 'S_2': '0-10-010-1001'}","(0.9868, 0.03980926369652152)"
"('111', '0100101000')","{'S_1': '1-11', 'S_2': '0-10-010-1000'}","(0.9869, 0.03965739225270227)"
"('111', '0100100111')","{'S_1': '1-11', 'S_2': '0-10-010-0111'}","(0.987, 0.7308709899902344)"
"('111', '0100100110')","{'S_1': '1-11', 'S_2': '0-10-010-0110'}","(0.9878, 0.6770753444671631)"
"('111', '0100100101')","{'S_1': '1-11', 'S_2': '0-10-010-0101'}","(0.0842, 2.460901821899414)"
"('111', '0100100100')","{'S_1': '1-11', 'S_2': '0-10-010-0100'}","(0.079, 2.4620834495544432)"
"('111', '0100100011')","{'S_1': '1-11', 'S_2': '0-10-010-0011'}","(0.9873, 0.6341614389419555)"
"('111', '0100100010')","{'S_1': '1-11', 'S_2': '0-10-010-0010'}","(0.9881, 0.5825050676345825)"
"('111', '0100100001')","{'S_1': '1-11', 'S_2': '0-10-010-0001'}","(0.0903, 2.4521587364196775)"
"('111', '0100100000')","{'S_1': '1-11', 'S_2': '0-10-010-0000'}","(0.0856, 2.4481294635772706)"
"('111', '0100011111')","{'S_1': '1-11', 'S_2': '0-10-001-1111'}","(0.9895, 0.03516527953464538)"
"('111', '0100011110')","{'S_1': '1-11', 'S_2': '0-10-001-1110'}","(0.989, 0.03623672830928117)"
"('111', '0100011101')","{'S_1': '1-11', 'S_2': '0-10-001-1101'}","(0.9882, 0.037717374751344325)"
"('111', '0100011100')","{'S_1': '1-11', 'S_2': '0-10-001-1100'}","(0.9873, 0.03975348106937017)"
"('111', '0100011011')","{'S_1': '1-11', 'S_2': '0-10-001-1011'}","(0.9894, 0.03520259229219519)"
"('111', '0100011010')","{'S_1': '1-11', 'S_2': '0-10-001-1010'}","(0.9891, 0.036296830418612806)"
"('111', '0100011001')","{'S_1': '1-11', 'S_2': '0-10-001-1001'}","(0.988, 0.037611074944585564)"
"('111', '0100011000')","{'S_1': '1-11', 'S_2': '0-10-001-1000'}","(0.9872, 0.03970756493266672)"
"('111', '0100010111')","{'S_1': '1-11', 'S_2': '0-10-001-0111'}","(0.9894, 0.6289165279388428)"
"('111', '0100010110')","{'S_1': '1-11', 'S_2': '0-10-001-0110'}","(0.9899, 0.7434022272109986)"
"('111', '0100010101')","{'S_1': '1-11', 'S_2': '0-10-001-0101'}","(0.6877, 2.1458755767822266)"
"('111', '0100010100')","{'S_1': '1-11', 'S_2': '0-10-001-0100'}","(0.1346, 2.3301554431915283)"
"('111', '0100010011')","{'S_1': '1-11', 'S_2': '0-10-001-0011'}","(0.9894, 0.5445749816894532)"
"('111', '0100010010')","{'S_1': '1-11', 'S_2': '0-10-001-0010'}","(0.9901, 0.6405609681129456)"
"('111', '0100010001')","{'S_1': '1-11', 'S_2': '0-10-001-0001'}","(0.7742, 2.065886095428467)"
"('111', '0100010000')","{'S_1': '1-11', 'S_2': '0-10-001-0000'}","(0.1222, 2.3264727981567384)"
"('111', '0100001111')","{'S_1': '1-11', 'S_2': '0-10-000-1111'}","(0.9889, 0.03681916133560881)"
"('111', '0100001110')","{'S_1': '1-11', 'S_2': '0-10-000-1110'}","(0.9888, 0.03679658427499235)"
"('111', '0100001101')","{'S_1': '1-11', 'S_2': '0-10-000-1101'}","(0.987, 0.040098633261211214)"
"('111', '0100001100')","{'S_1': '1-11', 'S_2': '0-10-000-1100'}","(0.9872, 0.03976212596110999)"
"('111', '0100001011')","{'S_1': '1-11', 'S_2': '0-10-000-1011'}","(0.9887, 0.036849439908307975)"
"('111', '0100001010')","{'S_1': '1-11', 'S_2': '0-10-000-1010'}","(0.9889, 0.036831091892835684)"
"('111', '0100001001')","{'S_1': '1-11', 'S_2': '0-10-000-1001'}","(0.9867, 0.039846592933405194)"
"('111', '0100001000')","{'S_1': '1-11', 'S_2': '0-10-000-1000'}","(0.9868, 0.039568122598621996)"
"('111', '0100000111')","{'S_1': '1-11', 'S_2': '0-10-000-0111'}","(0.9855, 0.733276543712616)"
"('111', '0100000110')","{'S_1': '1-11', 'S_2': '0-10-000-0110'}","(0.9879, 0.6559189178466797)"
"('111', '0100000101')","{'S_1': '1-11', 'S_2': '0-10-000-0101'}","(0.0868, 2.460893082809448)"
"('111', '0100000100')","{'S_1': '1-11', 'S_2': '0-10-000-0100'}","(0.0824, 2.4663848476409913)"
"('111', '0100000011')","{'S_1': '1-11', 'S_2': '0-10-000-0011'}","(0.9864, 0.6383407164573669)"
"('111', '0100000010')","{'S_1': '1-11', 'S_2': '0-10-000-0010'}","(0.9884, 0.5639289501190186)"
"('111', '0100000001')","{'S_1': '1-11', 'S_2': '0-10-000-0001'}","(0.0905, 2.4491971179962158)"
"('111', '0100000000')","{'S_1': '1-11', 'S_2': '0-10-000-0000'}","(0.0902, 2.45235938911438)"
"('111', '0011111111')","{'S_1': '1-11', 'S_2': '0-01-111-1111'}","(0.989, 0.036211110931518485)"
"('111', '0011111110')","{'S_1': '1-11', 'S_2': '0-01-111-1110'}","(0.9876, 0.040180160425417125)"
"('111', '0011111101')","{'S_1': '1-11', 'S_2': '0-01-111-1101'}","(0.9889, 0.036164677944034336)"
"('111', '0011111100')","{'S_1': '1-11', 'S_2': '0-01-111-1100'}","(0.9877, 0.03984445540206507)"
"('111', '0011111011')","{'S_1': '1-11', 'S_2': '0-01-111-1011'}","(0.9892, 0.0362420900402125)"
"('111', '0011111010')","{'S_1': '1-11', 'S_2': '0-01-111-1010'}","(0.9879, 0.03999541115500033)"
"('111', '0011111001')","{'S_1': '1-11', 'S_2': '0-01-111-1001'}","(0.9892, 0.036217330492660404)"
"('111', '0011111000')","{'S_1': '1-11', 'S_2': '0-01-111-1000'}","(0.9881, 0.03971347070839256)"
"('111', '0011110111')","{'S_1': '1-11', 'S_2': '0-01-111-0111'}","(0.9831, 0.7391695246696472)"
"('111', '0011110110')","{'S_1': '1-11', 'S_2': '0-01-111-0110'}","(0.1158, 2.558906089401245)"
"('111', '0011110101')","{'S_1': '1-11', 'S_2': '0-01-111-0101'}","(0.9845, 0.648432095003128)"
"('111', '0011110100')","{'S_1': '1-11', 'S_2': '0-01-111-0100'}","(0.1131, 2.5625044578552245)"
"('111', '0011110011')","{'S_1': '1-11', 'S_2': '0-01-111-0011'}","(0.985, 0.6437427070617676)"
"('111', '0011110010')","{'S_1': '1-11', 'S_2': '0-01-111-0010'}","(0.1156, 2.5517956516265867)"
"('111', '0011110001')","{'S_1': '1-11', 'S_2': '0-01-111-0001'}","(0.9863, 0.5588403306007386)"
"('111', '0011110000')","{'S_1': '1-11', 'S_2': '0-01-111-0000'}","(0.1156, 2.5513336463928225)"
"('111', '0011101111')","{'S_1': '1-11', 'S_2': '0-01-110-1111'}","(0.989, 0.03613514175051823)"
"('111', '0011101110')","{'S_1': '1-11', 'S_2': '0-01-110-1110'}","(0.9877, 0.040229283547587695)"
"('111', '0011101101')","{'S_1': '1-11', 'S_2': '0-01-110-1101'}","(0.989, 0.03605733962589875)"
"('111', '0011101100')","{'S_1': '1-11', 'S_2': '0-01-110-1100'}","(0.9879, 0.04001167599987239)"
"('111', '0011101011')","{'S_1': '1-11', 'S_2': '0-01-110-1011'}","(0.9893, 0.03616469584126025)"
"('111', '0011101010')","{'S_1': '1-11', 'S_2': '0-01-110-1010'}","(0.9879, 0.040038251444417985)"
"('111', '0011101001')","{'S_1': '1-11', 'S_2': '0-01-110-1001'}","(0.9891, 0.03610580475381576)"
"('111', '0011101000')","{'S_1': '1-11', 'S_2': '0-01-110-1000'}","(0.988, 0.039873447831720116)"
"('111', '0011100111')","{'S_1': '1-11', 'S_2': '0-01-110-0111'}","(0.9831, 0.7274531388282776)"
"('111', '0011100110')","{'S_1': '1-11', 'S_2': '0-01-110-0110'}","(0.1153, 2.564320376968384)"
"('111', '0011100101')","{'S_1': '1-11', 'S_2': '0-01-110-0101'}","(0.9844, 0.6658078556060791)"
"('111', '0011100100')","{'S_1': '1-11', 'S_2': '0-01-110-0100'}","(0.1138, 2.5653811801910402)"
"('111', '0011100011')","{'S_1': '1-11', 'S_2': '0-01-110-0011'}","(0.985, 0.6337036541938782)"
"('111', '0011100010')","{'S_1': '1-11', 'S_2': '0-01-110-0010'}","(0.1153, 2.557016980743408)"
"('111', '0011100001')","{'S_1': '1-11', 'S_2': '0-01-110-0001'}","(0.9862, 0.5741364875793457)"
