model tuple,gen,test result
"('111', '1111001000')","{'S_1': '1-11', 'S_2': '1-11-100-1000'}","(0.9871, 0.041066604824736716)"
"('111', '1111000111')","{'S_1': '1-11', 'S_2': '1-11-100-0111'}","(0.9908, 0.06061236867904663)"
"('111', '1111000110')","{'S_1': '1-11', 'S_2': '1-11-100-0110'}","(0.9882, 0.2378864912748337)"
"('111', '1111000101')","{'S_1': '1-11', 'S_2': '1-11-100-0101'}","(0.988, 0.3048890711784363)"
"('111', '1111000100')","{'S_1': '1-11', 'S_2': '1-11-100-0100'}","(0.5857, 1.4788198221206665)"
"('111', '1111000011')","{'S_1': '1-11', 'S_2': '1-11-100-0011'}","(0.9897, 0.12948402854204177)"
"('111', '1111000010')","{'S_1': '1-11', 'S_2': '1-11-100-0010'}","(0.9711, 0.7635035446166992)"
"('111', '1111000001')","{'S_1': '1-11', 'S_2': '1-11-100-0001'}","(0.9442, 0.8682304354667664)"
"('111', '1111000000')","{'S_1': '1-11', 'S_2': '1-11-100-0000'}","(0.0927, 2.8005997959136963)"
"('111', '1110111111')","{'S_1': '1-11', 'S_2': '1-11-011-1111'}","(0.991, 0.03217926357893739)"
"('111', '1110111110')","{'S_1': '1-11', 'S_2': '1-11-011-1110'}","(0.9909, 0.033303213588125075)"
"('111', '1110111101')","{'S_1': '1-11', 'S_2': '1-11-011-1101'}","(0.9904, 0.033071921922359616)"
"('111', '1110111100')","{'S_1': '1-11', 'S_2': '1-11-011-1100'}","(0.9897, 0.03513267420604825)"
"('111', '1110111011')","{'S_1': '1-11', 'S_2': '1-11-011-1011'}","(0.9902, 0.032948476093518544)"
"('111', '1110111010')","{'S_1': '1-11', 'S_2': '1-11-011-1010'}","(0.9895, 0.03466422209413722)"
"('111', '1110111001')","{'S_1': '1-11', 'S_2': '1-11-011-1001'}","(0.9889, 0.035794831647723915)"
"('111', '1110111000')","{'S_1': '1-11', 'S_2': '1-11-011-1000'}","(0.9871, 0.039320798409101555)"
"('111', '1110110111')","{'S_1': '1-11', 'S_2': '1-11-011-0111'}","(0.9917, 0.15238471558094024)"
"('111', '1110110110')","{'S_1': '1-11', 'S_2': '1-11-011-0110'}","(0.9914, 0.19717942514419556)"
"('111', '1110110101')","{'S_1': '1-11', 'S_2': '1-11-011-0101'}","(0.9898, 0.6494873982429504)"
"('111', '1110110100')","{'S_1': '1-11', 'S_2': '1-11-011-0100'}","(0.9867, 0.9228035861968994)"
"('111', '1110110011')","{'S_1': '1-11', 'S_2': '1-11-011-0011'}","(0.99, 0.43884580426216124)"
"('111', '1110110010')","{'S_1': '1-11', 'S_2': '1-11-011-0010'}","(0.9901, 0.6360615262031555)"
"('111', '1110110001')","{'S_1': '1-11', 'S_2': '1-11-011-0001'}","(0.9311, 1.8029280822753906)"
"('111', '1110110000')","{'S_1': '1-11', 'S_2': '1-11-011-0000'}","(0.1349, 2.3885357158660887)"
"('111', '1110101111')","{'S_1': '1-11', 'S_2': '1-11-010-1111'}","(0.9906, 0.033312404245371)"
"('111', '1110101110')","{'S_1': '1-11', 'S_2': '1-11-010-1110'}","(0.9907, 0.03369641160424799)"
"('111', '1110101101')","{'S_1': '1-11', 'S_2': '1-11-010-1101'}","(0.9897, 0.033453135034721346)"
"('111', '1110101100')","{'S_1': '1-11', 'S_2': '1-11-010-1100'}","(0.9894, 0.03444789075022563)"
"('111', '1110101011')","{'S_1': '1-11', 'S_2': '1-11-010-1011'}","(0.9897, 0.03444210191015154)"
"('111', '1110101010')","{'S_1': '1-11', 'S_2': '1-11-010-1010'}","(0.9895, 0.035055866171473465)"
"('111', '1110101001')","{'S_1': '1-11', 'S_2': '1-11-010-1001'}","(0.9877, 0.03758873074963922)"
"('111', '1110101000')","{'S_1': '1-11', 'S_2': '1-11-010-1000'}","(0.987, 0.039434549952857195)"
"('111', '1110100111')","{'S_1': '1-11', 'S_2': '1-11-010-0111'}","(0.9913, 0.1677869780063629)"
"('111', '1110100110')","{'S_1': '1-11', 'S_2': '1-11-010-0110'}","(0.9914, 0.1803983200788498)"
"('111', '1110100101')","{'S_1': '1-11', 'S_2': '1-11-010-0101'}","(0.8824, 1.137918632888794)"
"('111', '1110100100')","{'S_1': '1-11', 'S_2': '1-11-010-0100'}","(0.856, 1.2115746711730957)"
"('111', '1110100011')","{'S_1': '1-11', 'S_2': '1-11-010-0011'}","(0.9897, 0.5078638094902038)"
"('111', '1110100010')","{'S_1': '1-11', 'S_2': '1-11-010-0010'}","(0.9895, 0.5766295916557312)"
"('111', '1110100001')","{'S_1': '1-11', 'S_2': '1-11-010-0001'}","(0.1866, 2.3473304733276366)"
"('111', '1110100000')","{'S_1': '1-11', 'S_2': '1-11-010-0000'}","(0.0797, 2.511339893722534)"
"('111', '1110011111')","{'S_1': '1-11', 'S_2': '1-11-001-1111'}","(0.9909, 0.03282478753379546)"
"('111', '1110011110')","{'S_1': '1-11', 'S_2': '1-11-001-1110'}","(0.9907, 0.033721228842064736)"
"('111', '1110011101')","{'S_1': '1-11', 'S_2': '1-11-001-1101'}","(0.9903, 0.034048348786123096)"
"('111', '1110011100')","{'S_1': '1-11', 'S_2': '1-11-001-1100'}","(0.9895, 0.03556249014749192)"
"('111', '1110011011')","{'S_1': '1-11', 'S_2': '1-11-001-1011'}","(0.9899, 0.033868310325033964)"
"('111', '1110011010')","{'S_1': '1-11', 'S_2': '1-11-001-1010'}","(0.9894, 0.03510775550995022)"
"('111', '1110011001')","{'S_1': '1-11', 'S_2': '1-11-001-1001'}","(0.9881, 0.03730852568082046)"
"('111', '1110011000')","{'S_1': '1-11', 'S_2': '1-11-001-1000'}","(0.9871, 0.03975137113314122)"
"('111', '1110010111')","{'S_1': '1-11', 'S_2': '1-11-001-0111'}","(0.9918, 0.16656127400398255)"
"('111', '1110010110')","{'S_1': '1-11', 'S_2': '1-11-001-0110'}","(0.992, 0.1818580623149872)"
"('111', '1110010101')","{'S_1': '1-11', 'S_2': '1-11-001-0101'}","(0.99, 0.7386459269523621)"
"('111', '1110010100')","{'S_1': '1-11', 'S_2': '1-11-001-0100'}","(0.9892, 0.8525627890586853)"
